Topology,Training,EQM,Epocas
5,T1,0.014716857957380472,5000
5,T2,0.01204448562699503,5000
5,T3,0.007116043446920372,5000
10,T1,0.00858894566588464,5000
10,T2,0.014450936343730705,5000
10,T3,0.008308396362905283,5000
15,T1,0.013552782527983647,5000
15,T2,0.010945084173156544,5000
15,T3,0.013490882828970562,5000
